price,bed,bath,area,location
"43,000",1 bed,1 bath,"1,150 sqft","Mohamed Bin Zayed Centre, Mohammed Bin Zayed City, Abu Dhabi"
"43,000",1 bed,2 bath,s800 sqft," Defence Street, Abu Dhabi"
"21,600",1 bed,1 bath,"1,234 sqft"," Shabiya 10, Mussafah Community, Mohammed Bin Zayed City, Abu Dhabi"
"31,200",1 bed,1 bath,600 sqft," Madinat Al Riyadh, Abu Dhabi"
"50,000",1 bed,1 bath,850 sqft," Al Falah Street, Abu Dhabi"
"34,000",1 bed,1 bath,750 sqft," Khalifa City, Abu Dhabi"
"48,000",1 bed,1 bath,650 sqft," Al Nahyan, Abu Dhabi"
"44,000",1 bed,1 bath,650 sqft," Al Nahyan, Abu Dhabi"
"40,000",1 bed,1 bath,"1,200 sqft"," Rabdan, Abu Dhabi"
"49,999",2 bed,s2 bat,"hs1,650 sqft"," Shabiya 09, Mussafah Community, Mohammed Bin Zayed City, Abu Dhabi"
"50,000",1 bed,2 bath,"s1,050 sqft","Al Muhaimat Tower, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi"
"40,000",2 bed,s2 bat,"hs1,500 sqft"," Mohammed Bin Zayed City, Abu Dhabi"
"22,800",2 bed,s2 bat,hs611 sqft," Tourist Club Area (TCA), Abu Dhabi"
"42,000",2 bed,s2 bat,"hs1,500 sqft"," Mohammed Bin Zayed City, Abu Dhabi"
"38,000",1 bed,1 bath,750 sqft," Mohammed Bin Zayed City, Abu Dhabi"
"45,000",1 bed,2 bath,s930 sqft," Al Reef Downtown, Al Reef, Abu Dhabi"
"48,000",1 bed,2 bath,s872 sqft," Khalifa City, Abu Dhabi"
"49,999",1 bed,2 bath,s796 sqft," Al Reef Downtown, Al Reef, Abu Dhabi"
"50,000",1 bed,1 bath,546 sqft," Khalifa City, Abu Dhabi"
"49,000",1 bed,2 bath,s850 sqft," Al Raha Beach, Abu Dhabi"
"35,000",1 bed,1 bath,700 sqft," Mohammed Bin Zayed City, Abu Dhabi"
"50,000",1 bed,2 bath,s820 sqft,"Marina Bay By DAMAC, Najmat Abu Dhabi, Al Reem Island, Abu Dhabi"
"45,000",2 bed,s2 bat,"hs2,000 sqft"," Al Rahba, Abu Dhabi"
"49,000",2 bed,s2 bat,"hs1,350 sqft"," Al Khalidiyah, Abu Dhabi"
"33,000",1 bed,1 bath,700 sqft," Madinat Al Riyadh, Abu Dhabi"
"35,000",1 bed,1 bath,"1,200 sqft"," Al Shamkha, Abu Dhabi"
"42,000",1 bed,1 bath,"1,000 sqft"," Mohammed Bin Zayed City, Abu Dhabi"
"33,000",1 bed,1 bath,850 sqft," Zone 19, Mohammed Bin Zayed City, Abu Dhabi"
"50,000",1 bed,1 bath,850 sqft," Al Falah Street, Abu Dhabi"
"43,999",1 bed,1 bath,800 sqft," Abu Dhabi Island, Abu Dhabi"
"46,000",1 bed,1 bath,"1,650 sqft"," Between Two Bridges (Bain Al Jessrain), Abu Dhabi"
"44,999",1 bed,1 bath,800 sqft," Airport Street, Abu Dhabi"
"41,000",1 bed,1 bath,"2,400 sqft"," Shakhbout City, Abu Dhabi"
"35,000",1 bed,1 bath,"1,300 sqft"," Khalifa City, Abu Dhabi"
"29,999",1 bed,1 bath,"1,900 sqft"," Madinat Al Riyadh, Abu Dhabi"
